iter,cpu_seconds,relative_gap
1.000000000000000000e+02,6.787409292024676688e+01,7.504258625612436617e-08
1.010000000000000000e+02,6.857258058723527938e+01,7.264058965450459482e-08
1.020000000000000000e+02,6.926866046222858131e+01,7.028142823273242357e-08
1.030000000000000000e+02,6.996510158723685890e+01,6.812029773595185134e-08
1.040000000000000000e+02,7.065928471222287044e+01,6.622209158813063823e-08
1.050000000000000000e+02,7.135273996222531423e+01,6.431528454253765403e-08
1.060000000000000000e+02,7.204818137921392918e+01,6.252313866639269690e-08
1.070000000000000000e+02,7.274318537922226824e+01,6.080142145314937352e-08
1.080000000000000000e+02,7.344131067022681236e+01,5.915729006655823241e-08
1.090000000000000000e+02,7.413573983722017147e+01,5.756215937235964475e-08
1.100000000000000000e+02,7.483062625321326777e+01,5.604141972703757801e-08
1.110000000000000000e+02,7.552401662821648642e+01,5.455335971848995769e-08
1.120000000000000000e+02,7.621650817024055868e+01,5.309567607802989642e-08
1.130000000000000000e+02,7.691028375324094668e+01,5.170360006800933661e-08
1.140000000000000000e+02,7.760059471125714481e+01,5.036554695525552461e-08
1.150000000000000000e+02,7.829596729425247759e+01,4.906246475755438041e-08
1.160000000000000000e+02,7.898927687725517899e+01,4.778915208003553516e-08
1.170000000000000000e+02,7.970224700224935077e+01,4.654628116274039940e-08
1.180000000000000000e+02,8.040572816826170310e+01,4.535891862111895989e-08
1.190000000000000000e+02,8.113150754326488823e+01,4.420798993542973676e-08
1.200000000000000000e+02,8.184463187726214528e+01,4.309502532606757086e-08
1.210000000000000000e+02,8.254599125226377510e+01,4.200572478740838278e-08
1.220000000000000000e+02,8.324723333626752719e+01,4.093904926172342584e-08
1.230000000000000000e+02,8.394497125328052789e+01,3.988225605322526235e-08
1.240000000000000000e+02,8.464519058729638346e+01,3.887068478203303812e-08
1.250000000000000000e+02,8.534281642129644752e+01,3.787061919613421423e-08
1.260000000000000000e+02,8.603750892129028216e+01,3.690208105755488077e-08
1.270000000000000000e+02,8.675325017128488980e+01,3.595979147785755003e-08
1.280000000000000000e+02,8.749593750428175554e+01,3.506246615270214306e-08
1.290000000000000000e+02,8.820781287926365621e+01,3.417537097760714460e-08
1.300000000000000000e+02,8.891100025427294895e+01,3.331495512792770342e-08
1.310000000000000000e+02,8.960832437925273553e+01,3.248066327010690202e-08
1.320000000000000000e+02,9.030706129522877745e+01,3.166072959359667038e-08
1.330000000000000000e+02,9.100837496120948344e+01,3.087044309069142400e-08
1.340000000000000000e+02,9.170626966923009604e+01,3.010716365103860426e-08
1.350000000000000000e+02,9.240937100222799927e+01,2.936165188760497813e-08
1.360000000000000000e+02,9.311024425222421996e+01,2.862089554245272893e-08
1.370000000000000000e+02,9.381092904423712753e+01,2.791189390727311093e-08
1.380000000000000000e+02,9.458520625325036235e+01,2.722151892786683902e-08
1.390000000000000000e+02,9.531506733625428751e+01,2.653769826110874419e-08
1.400000000000000000e+02,9.602323283627629280e+01,2.588722425311829056e-08
1.410000000000000000e+02,9.672725237830309197e+01,2.525055908808582217e-08
1.420000000000000000e+02,9.748451708629727364e+01,2.461839343492755461e-08
1.430000000000000000e+02,9.821944912831531838e+01,2.401562304576998486e-08
1.440000000000000000e+02,9.892140517031657510e+01,2.342741423078109619e-08
1.450000000000000000e+02,9.962473146230331622e+01,2.283704547689779929e-08
1.460000000000000000e+02,1.003233079623023514e+02,2.228458040320902001e-08
1.470000000000000000e+02,1.010246443793002982e+02,2.174354674089329365e-08
1.480000000000000000e+02,1.017263788373093121e+02,2.120396236371391296e-08
1.490000000000000000e+02,1.024242987952893600e+02,2.069158466788678652e-08
1.500000000000000000e+02,1.031236249202920590e+02,2.019303124711768760e-08
1.510000000000000000e+02,1.038285535873146728e+02,1.969074492347289151e-08
1.520000000000000000e+02,1.045303098793083336e+02,1.921475578647857674e-08
1.530000000000000000e+02,1.052250623383151833e+02,1.874847332938855970e-08
1.540000000000000000e+02,1.059300583802978508e+02,1.828706408524283233e-08
1.550000000000000000e+02,1.066368941722903401e+02,1.785669090370589629e-08
1.560000000000000000e+02,1.073394425062870141e+02,1.742454547315475111e-08
1.570000000000000000e+02,1.080466005902853794e+02,1.699151264134002304e-08
1.580000000000000000e+02,1.087480361732887104e+02,1.658488280043002305e-08
1.590000000000000000e+02,1.094457780902739614e+02,1.618548917114992491e-08
1.600000000000000000e+02,1.101542499232746195e+02,1.578674468927232510e-08
1.610000000000000000e+02,1.108475767982599791e+02,1.541044292174831298e-08
1.620000000000000000e+02,1.115370628812524956e+02,1.504101521110356998e-08
1.630000000000000000e+02,1.122313159232726321e+02,1.467136778732225366e-08
1.640000000000000000e+02,1.129346307982923463e+02,1.432326823813667716e-08
1.650000000000000000e+02,1.136312585902924184e+02,1.398181181944124774e-08
1.660000000000000000e+02,1.143280082992860116e+02,1.363821489075434101e-08
1.670000000000000000e+02,1.150267569242860191e+02,1.332017207644753398e-08
1.680000000000000000e+02,1.157239534663094673e+02,1.299839313961825837e-08
1.690000000000000000e+02,1.164210673003108241e+02,1.268060034753659693e-08
1.700000000000000000e+02,1.171478853423031978e+02,1.238148805704497590e-08
1.710000000000000000e+02,1.178533957583131269e+02,1.208738431568434635e-08
1.720000000000000000e+02,1.185475690503371879e+02,1.179299469189487581e-08
1.730000000000000000e+02,1.192522630083258264e+02,1.151618445049962247e-08
1.740000000000000000e+02,1.199595794663473498e+02,1.124356263648706999e-08
1.750000000000000000e+02,1.206512395913305227e+02,1.096824919777361629e-08
1.760000000000000000e+02,1.213468868833151646e+02,1.071082189607608370e-08
1.770000000000000000e+02,1.220430595493235160e+02,1.045722064496601433e-08
1.780000000000000000e+02,1.227425111743214075e+02,1.020352136116287056e-08
1.790000000000000000e+02,1.234366088823007885e+02,9.966974690023278072e-09
